branch,category,cat_num,item
master,my_title,1,Administrative support Clerk
master,my_title,2,Reporting Analyst
master,my_title,3,Data Entry Specialist
master,intro_text,1,"With over 15 years in customer-facing roles and 5+ years specializing in data entry and analytics, I confidently bridge the gap between technical, analytical, and interpersonal skills"
master,intro_text,1,"A driven and inquisitive self-starter with strong administrative acumen, and fluency in a vast suite of tools particular to office administration, reporting, and customer service/relations"
master,skills,1,Excel/Google Sheets
master,skills,2,R
master,skills,3,mySQL
master,skills,4,Tableau
master,skills,5,Python
master,skills,6,Power BI
master,skills,7,HTML5/CSS
master,other_skills,1,Data Visualization
master,other_skills,2,Qualitative Research 
master,other_skills,3,Quantitative Research
master,other_skills,4,Statistical Modeling
master,other_skills,5,Survey Design/Analysis 
master,other_skills,6,Agile/JIRA
master,other_skills,7,CRM (Salesforce)
master,other_skills,8,Verbal & Written
