section,in_resume,title,start,end,loc,institution,description_1,description_2,description_3
work_history,TRUE,Lodgement Administrator ,2021,2022,"Accident Compensation Commission, NZ","Dunedin, NZ",Resolved high daily volume of information conflicts,Used Microsoft Office Suite for various administrative tasks,Assisted in identifying opportunities for improving processes & services.
service,TRUE,Data Analyst,2020,2021,Fungus Federation,"Auckland, NZ",Used R and Google Sheets to clean company data sets ,Forecast growing cycles of pleurotus pulmonarius in various growing conditions.,Communicated findings to stakeholders with pivot tables and interactive dash boards. 
work_history,FALSE,Undergraduate Psychology Course Tutor,2018,2019,University of Wellington School of Psychology,"Wellington, NZ",Introduced reflective journaling & peer feedback as course components. ,Taught course content & graded assignments.,Assisted with School of Psychology transition from SPSS to R.
work_history,FALSE,Managing Director,2012,2016,Barsquire Beverage Consultancy Services,"Wellington, NZ",Curated database of spirits & cocktail recipes.,Supplied consultancy services to the hospitality industry. ,Recruitment & Mentoring.
service,TRUE,Junior Data Scientist,2019,2020,Greenback Ltd. ,"Auckland, NZ",Conducted literary review of modeling techniques for NZ native tree growth & carbon sequestration,Modeled NZ native tree growth & carbon sequestration potential.,Attended Impact Collective Accelerator Program 
service,FALSE,Data Analyst ,2019,Present,Self-Employed,"Dunedin, NZ",Various Projects,Business Intelligence,
service,TRUE,Data Analyst,2021,2022,Barrio Del Chur Artist & Event Collective,"Wellington, NZ",Designed & distributed surveys to measure guest experience following large immersive event.,Applied qualitative & quantitative analysis to survey and social media.,Implemented data driven insights to improve user/guest experiences. 
service,FALSE,Mentor,2017,2018,Te Pūtahi Atawhai – Māori & Pasifika Academic Support ,"Wellington, NZ",Tutored Psychology Research Methods & statistics course content.,Provided additional academic & peer support.,Received extensive cultural awareness & sensitivity training.
education,FALSE,Double BA Psychology & Philosophy,2015,2019,,,Research Assistant for Emotion & Ritual Study.,Research Assistant to Mind & Culture Lab.,
certification,FALSE,Course Certificate Introduction to Machine Learning,2020,2021,Coursera/Duke University,,,,
