section,in_resume,title,start,end,loc,institution,description_1,description_2,description_3
work_history,TRUE,Lodgement Administrator ,2021,Present,"Accident Compensation Commission, NZ","Dunedin, NZ",Performed expedient & accurate data entry.,Actioned Simple cover decisions.,Completed a range of administration duties. 
work_history,TRUE,Data Analyst,2019,2020,Fungus Federation,"Auckland, NZ",Modeled Pleurotus Polmonarious fruiting data.,Simulated fruiting data for various other mushroom species. ,Provided data driven insights into sustainable business growth. 
work_history,TRUE,Undergraduate Psychology Course Tutor,2018,2019,University of Wellington School of Psychology,"Wellington, NZ",Introduced reflective journaling & peer feedback as course components. ,Taught course content & graded assignments.,Assisted with School of Psychology transition from SPSS to R.
work_history,TRUE,Managing Director,2012,2016,Barsquire Beverage Consultancy Services,"Wellington, NZ",Curated database of spirits & cocktail recipes.,Supplied consultancy services to the hospitality industry. ,Recruitment & Mentoring.
service,TRUE,Junior Data Scientist,2020,2021,Greenback Ltd. ,"Auckland, NZ",Modeled NZ native tree growth & sequestration potential. ,Researched & communicated forestry & sequestration science to development team. ,
service,FALSE,Data Analyst ,2019,Present,Self-Employed,"Dunedin, NZ",Various Projects,Business Intelligence,
service,TRUE,Data Analyst,2018,Present,Barrio Del Chur Artist & Event Collective,"Wellington, NZ",Designed & distributed surveys. ,Applied qualitative & quantitative analysis to survey and social media.,Interactive Dashboard Creation.
service,TRUE,Mentor,2017,2018,Te Pūtahi Atawhai – Māori & Pasifika Academic Support ,"Wellington, NZ",Tutored Psychology Research Methods & statistics course content.,Provided additional academic & peer support.,Received extensive cultural awareness & sensitivity training.
education,TRUE,Double BA Psychology & Philosophy,2015,2019,Te Herenga Waka - Victoria University of Wellington,"Wellington, NZ",Research Assistant for Emotion & Ritual Study.,Research Assistant to Mind & Culture Lab.,
certification,TRUE,Course Certificate Introduction to Machine Learning,2020,2021,Coursera/Duke University,,,,
certification ,TRUE,Google Data Analytics Professional Certificate ,2021,Present,Coursera/Google,,,,
work_history,FALSE,Social Media Coordinator,2018,2019,Center For Applied Cross Cultural Research (CACR),"Wellington, NZ",Content Creation: Research & Communication ,Online Presence/Social Media Platforms,NZFMC Summit
